id;nombre;apellido;telefono;correo
1;distinction tinderbox;ha innocently less;vanadyl creak deceivingly;round times scotch
2;amid overheard;mostly;gah;armchair bashfully navigate
3;finally;partial stable;now;since affect filter
4;incidentally refer weep;honestly;zowie which;major fooey vacantly
5;and;swim;avaricious what;righteously because
6;physically converse;and deform testing;smoothly neglect trick;obstruct yippee clueless
7;beyond or;mask;kaleidoscopic unaccountably;epic supplier upon
8;hence;following at;outlying;satisfy zowie why
9;pink caring;even unless;before;heavily pile and
10;quirkily;gadzooks;coincide oof insecure;mousse fervently
